"nm_municipio";"nm_uf";"oper";"ano";"trabalhadores_resgatados"
"Água Preta";"Pernambuco";122;2012;19
"Santa Rita do Tocantins";"Tocantins";123;2012;12
"Jataí";"Goiás";124;2012;16
"Bonópolis";"Goiás";125;2012;22
"Montividiu";"Goiás";126;2012;0
"Bom Jesus";"Rio Grande do Sul";127;2012;41
"Dourados";"Mato Grosso do Sul";128;2012;15
"Codajás";"Amazonas";129;2012;4
"Codajás";"Amazonas";129;2012;5
"Manacapuru";"Amazonas";129;2012;3
"Concórdia";"Santa Catarina";130;2012;7
"Pinhão";"Paraná";131;2012;0
"Contagem";"Minas Gerais";132;2012;7
"Colônia Leopoldina";"Alagoas";133;2012;32
"Juína";"Mato Grosso";134;2012;0
"Ulianópolis";"Pará";135;2012;0
"Chupinguaia";"Rondônia";136;2012;29
"Pirassununga";"São Paulo";137;2012;26
"Arraial do Cabo";"Rio de Janeiro";138;2012;5
"Engenheiro Beltrão";"Paraná";139;2012;92
"Poconé";"Mato Grosso";140;2012;28
"Juiz de Fora";"Minas Gerais";141;2012;45
"Recife";"Pernambuco";142;2012;6
"São Miguel do Passa Quatro";"Goiás";143;2012;0
"Nova Crixás";"Goiás";144;2012;0
"Jandaia";"Goiás";145;2012;0
"Colônia Leopoldina";"Alagoas";1;2013;0
"Rio Largo";"Alagoas";1;2013;0
"Novo Repartimento";"Pará";2;2013;0
"Pacajá";"Pará";2;2013;0
"Água Fria de Goiás";"Goiás";3;2013;0
"Alexânia";"Goiás";3;2013;0
"São João d'Aliança";"Goiás";3;2013;0
"Vila Boa";"Goiás";3;2013;0
"Conceição do Araguaia";"Pará";4;2013;0
"Pau D'Arco";"Pará";4;2013;0
"Santa Maria das Barreiras";"Pará";4;2013;0
"Goiânia";"Goiás";5;2013;12
"Imbuia";"Santa Catarina";6;2013;3
"Ituporanga";"Santa Catarina";6;2013;7
"Manoel Emídio";"Piauí";7;2013;26
"São Paulo";"São Paulo";8;2013;1
"Caxias do Sul";"Rio Grande do Sul";9;2013;6
"Porto Murtinho";"Mato Grosso do Sul";10;2013;5
"Porto Murtinho";"Mato Grosso do Sul";10;2013;12
"Inácio Martins";"Paraná";11;2013;17
"Novo Progresso";"Pará";12;2013;0
"Curionópolis";"Pará";13;2013;0
"São Joaquim";"Santa Catarina";14;2013;0
"Urubici";"Santa Catarina";14;2013;0
"Itaquiraí";"Mato Grosso do Sul";15;2013;34
"Brasilândia de Minas";"Minas Gerais";16;2013;10
"Santa Bárbara d'Oeste";"São Paulo";17;2013;3
"Belo Horizonte";"Minas Gerais";18;2013;6
"Nova Lima";"Minas Gerais";18;2013;26
"Petrolina";"Pernambuco";19;2013;1
"Rio de Janeiro";"Rio de Janeiro";20;2013;6
"Toritama";"Pernambuco";21;2013;7
"Toritama";"Pernambuco";21;2013;0
"Formoso do Araguaia";"Tocantins";22;2013;0
"Peixe";"Tocantins";22;2013;0
"Itupiranga";"Pará";23;2013;0
"Palestina do Pará";"Pará";23;2013;0
"Balsas";"Maranhão";23;2013;0
"Guarulhos";"São Paulo";24;2013;3
"São Paulo";"São Paulo";24;2013;0
"São Paulo";"São Paulo";25;2013;6
"São Paulo";"São Paulo";25;2013;9
"São Paulo";"São Paulo";25;2013;28
"Dourados";"Mato Grosso do Sul";26;2013;11
"São Mateus";"Espírito Santo";27;2013;13
"Belo Horizonte";"Minas Gerais";28;2013;6
"Vitória da Conquista";"Bahia";29;2013;17
"Crixás";"Goiás";30;2013;4
"Crixás";"Goiás";30;2013;12
"Rondon do Pará";"Pará";31;2013;2
"Rondon do Pará";"Pará";31;2013;7
"Rondon do Pará";"Pará";31;2013;0
"Vila Nova dos Martírios";"Maranhão";31;2013;6
"Água Azul do Norte";"Pará";32;2013;0
"São Félix do Xingu";"Pará";32;2013;15
"Xambioá";"Tocantins";32;2013;0
"Açailândia";"Maranhão";33;2013;1
"Açailândia";"Maranhão";33;2013;0
"Medicilândia";"Pará";34;2013;6
"Medicilândia";"Pará";34;2013;0
"Honório Serpa";"Paraná";35;2013;9
"Palmas";"Paraná";35;2013;0
"Abadia de Goiás";"Goiás";36;2013;15
"Chupinguaia";"Rondônia";37;2013;11
"Maracaju";"Mato Grosso do Sul";38;2013;4
"Brumadinho";"Minas Gerais";39;2013;0
"Ribeirão Cascalheira";"Mato Grosso";40;2013;2
"Luís Eduardo Magalhães";"Bahia";41;2013;0
"São Desidério";"Bahia";41;2013;0
"Colniza";"Mato Grosso";42;2013;0
"Bandeirantes do Tocantins";"Tocantins";43;2013;4
"Bandeirantes do Tocantins";"Tocantins";43;2013;0
"Colméia";"Tocantins";43;2013;16
"Caruaru";"Pernambuco";44;2013;0
"Paulista";"Pernambuco";44;2013;0
"Recife";"Pernambuco";44;2013;0
"Santa Rita do Pardo";"Mato Grosso do Sul";45;2013;9
"Pinhão";"Paraná";46;2013;6
"Rio Branco";"Acre";47;2013;13
"Governador Valadares";"Minas Gerais";48;2013;1
"Sacramento";"Minas Gerais";49;2013;33
"Barreiras";"Bahia";50;2013;33
"Dourados";"Mato Grosso do Sul";51;2013;1
"Cotriguaçu";"Mato Grosso";52;2013;0
"Porto dos Gaúchos";"Mato Grosso";52;2013;0
"Curionópolis";"Pará";53;2013;0
"Parauapebas";"Pará";53;2013;6
"Perobal";"Paraná";54;2013;0
"Coronel Pacheco";"Minas Gerais";55;2013;11
"Piranhas";"Goiás";56;2013;0
"Aiuaba";"Ceará";57;2013;0
"Belo Horizonte";"Minas Gerais";58;2013;11
"Coronel Domingos Soares";"Paraná";59;2013;0
"Palmas";"Paraná";59;2013;0
"Bela Vista do Paraíso";"Paraná";60;2013;0
"São Félix do Xingu";"Pará";61;2013;1
"São Félix do Xingu";"Pará";61;2013;0
"Tucumã";"Pará";61;2013;21
"Rondolândia";"Mato Grosso";62;2013;0
"Edealina";"Goiás";63;2013;0
"Açailândia";"Maranhão";64;2013;0
"Bom Jardim";"Maranhão";64;2013;2
"Bom Jesus das Selvas";"Maranhão";64;2013;0
"São Francisco do Brejão";"Maranhão";64;2013;8
"Campinas";"São Paulo";65;2013;27
"Ilhéus";"Bahia";66;2013;6
"Bacabal";"Maranhão";67;2013;12
"Vitória da Conquista";"Bahia";68;2013;24
"Nova Canaã do Norte";"Mato Grosso";69;2013;0
"São Vicente de Minas";"Minas Gerais";70;2013;0
"Bom Jardim";"Maranhão";71;2013;11
"Cidelândia";"Maranhão";71;2013;0
"Senador La Rocque";"Maranhão";71;2013;0
"Cumaru do Norte";"Pará";72;2013;5
"Cumaru do Norte";"Pará";72;2013;0
"Floresta do Araguaia";"Pará";72;2013;0
"Brasil Novo";"Pará";73;2013;0
"Medicilândia";"Pará";73;2013;3
"Medicilândia";"Pará";73;2013;8
"Medicilândia";"Pará";73;2013;17
"Novo Repartimento";"Pará";74;2013;1
"Novo Repartimento";"Pará";74;2013;2
"São Paulo";"São Paulo";75;2013;28
"Itaberaí";"Goiás";76;2013;70
"Palmas";"Paraná";77;2013;0
"Pinhalão";"Paraná";77;2013;17
"Paranatinga";"Mato Grosso";78;2013;5
"Matupá";"Mato Grosso";79;2013;15
"Ilhéus";"Bahia";80;2013;5
"Bom Jesus do Tocantins";"Pará";81;2013;0
"Curionópolis";"Pará";81;2013;6
"São Geraldo do Araguaia";"Pará";81;2013;0
"Açailândia";"Maranhão";82;2013;0
"Itinga do Maranhão";"Maranhão";82;2013;0
"São Pedro da Água Branca";"Maranhão";82;2013;1
"Eldorado dos Carajás";"Pará";83;2013;2
"Marabá";"Pará";83;2013;6
"Matão";"São Paulo";84;2013;26
"Santa Terezinha";"Santa Catarina";85;2013;6
"Belo Horizonte";"Minas Gerais";86;2013;16
"Codó";"Maranhão";87;2013;9
"Comendador Gomes";"Minas Gerais";88;2013;23
"Ipê";"Rio Grande do Sul";89;2013;3
"Itaguaí";"Rio de Janeiro";90;2013;0
"Barreiras";"Bahia";91;2013;0
"Correntina";"Bahia";91;2013;0
"São Desidério";"Bahia";91;2013;0
"Parauapebas";"Pará";92;2013;0
"São Félix do Xingu";"Pará";92;2013;0
"Tucumã";"Pará";92;2013;0
"Pacajá";"Pará";93;2013;2
"Vitória da Conquista";"Bahia";94;2013;26
"Wenceslau Braz";"Paraná";95;2013;1
"Altos";"Piauí";96;2013;0
"Aquidauana";"Mato Grosso do Sul";97;2013;4
"Porto Murtinho";"Mato Grosso do Sul";98;2013;8
"Itirapuã";"São Paulo";99;2013;26
"Mateus Leme";"Minas Gerais";100;2013;36
"Conceição do Araguaia";"Pará";101;2013;5
"Conceição do Araguaia";"Pará";101;2013;0
"Redenção";"Pará";101;2013;2
"Serra Branca";"Paraíba";102;2013;21
"Água Preta";"Pernambuco";102;2013;0
"Novo Progresso";"Pará";103;2013;0
"Raposa";"Maranhão";104;2013;21
"Ariquemes";"Rondônia";105;2013;2
"Itupiranga";"Pará";106;2013;1
"Itupiranga";"Pará";106;2013;0
"Novo Repartimento";"Pará";106;2013;0
"Piçarra";"Pará";106;2013;0
"Novo Progresso";"Pará";107;2013;0
"Jussara";"Goiás";108;2013;0
"Campo Alegre de Goiás";"Goiás";109;2013;0
"Ipameri";"Goiás";109;2013;0
"Contagem";"Minas Gerais";110;2013;0
"Canindé";"Ceará";111;2013;0
"Granja";"Ceará";111;2013;11
"Granja";"Ceará";111;2013;85
"Martinópole";"Ceará";111;2013;0
"Novo Progresso";"Pará";112;2013;0
"Rio Verde";"Goiás";113;2013;0
"Mundo Novo";"Goiás";114;2013;0
"Irati";"Paraná";115;2013;0
"Cuiabá";"Mato Grosso";116;2013;21
"Natividade";"Tocantins";117;2013;11
"Juiz de Fora";"Minas Gerais";118;2013;28
"Oiapoque";"Amapá";119;2013;23
"Juiz de Fora";"Minas Gerais";120;2013;5
"Juiz de Fora";"Minas Gerais";121;2013;21
"Chácara";"Minas Gerais";122;2013;5
"Juiz de Fora";"Minas Gerais";123;2013;7
"Vila Rica";"Mato Grosso";124;2013;5
"Dois Vizinhos";"Paraná";125;2013;0
"Francisco Beltrão";"Paraná";125;2013;0
"Campanha";"Minas Gerais";126;2013;1
"Itiquira";"Mato Grosso";127;2013;3
"Itiquira";"Mato Grosso";127;2013;12
"Jaraguá";"Goiás";128;2013;11
"Palmitos";"Santa Catarina";129;2013;11
"Feira de Santana";"Bahia";130;2013;24
"Rio de Janeiro";"Rio de Janeiro";131;2013;8
"Belford Roxo";"Rio de Janeiro";132;2013;6
"Ipameri";"Goiás";133;2013;0
"Santo Antônio do Leverger";"Mato Grosso";134;2013;4
"Natividade";"Tocantins";135;2013;10
"Ibaretama";"Ceará";136;2013;7
"Belo Horizonte";"Minas Gerais";137;2013;0
"Guarulhos";"São Paulo";138;2013;111
"São Félix do Araguaia";"Mato Grosso";139;2013;0
"Nova Bandeirantes";"Mato Grosso";140;2013;0
"São Paulo";"São Paulo";141;2013;55
"Montividiu";"Goiás";142;2013;0
"Uberlândia";"Minas Gerais";143;2013;21
"Guarulhos";"São Paulo";144;2013;7
"São Paulo";"São Paulo";145;2013;13
"São Paulo";"São Paulo";146;2013;9
"Goiânia";"Goiás";147;2013;2
"Moju";"Pará";148;2013;0
"Tailândia";"Pará";148;2013;2
"Tailândia";"Pará";148;2013;0
"Belford Roxo";"Rio de Janeiro";149;2013;3
"Belford Roxo";"Rio de Janeiro";149;2013;13
"Vacaria";"Rio Grande do Sul";150;2013;12
"Divinolândia";"São Paulo";151;2013;7
"União de Minas";"Minas Gerais";152;2013;6
"Campina Grande do Sul";"Paraná";153;2013;14
"Inácio Martins";"Paraná";154;2013;0
"Caxias do Sul";"Rio Grande do Sul";155;2013;6
"Campos Verdes";"Goiás";156;2013;0
"Medianeira";"Paraná";157;2013;0
"General Carneiro";"Paraná";158;2013;0
"Contagem";"Minas Gerais";159;2013;0
"Campo Alegre de Goiás";"Goiás";160;2013;7
"Rio de Janeiro";"Rio de Janeiro";161;2013;93
"Nova Brasilândia";"Mato Grosso";162;2013;0
"Paranaíta";"Mato Grosso";163;2013;8
"Conceição do Mato Dentro";"Minas Gerais";164;2013;173
"Vigia";"Pará";165;2013;6
"Vigia";"Pará";165;2013;8
"Vigia";"Pará";165;2013;0
"Altamira";"Pará";166;2013;0
"Cuiabá";"Mato Grosso";167;2013;11
"Ibirapuã";"Bahia";168;2013;0
"Terenos";"Mato Grosso do Sul";169;2013;10
"Corumbá";"Mato Grosso do Sul";170;2013;3
"Ipê";"Rio Grande do Sul";171;2013;17
"Campinas";"São Paulo";172;2013;56
"Porto Velho";"Rondônia";173;2013;6
"Osasco";"São Paulo";174;2013;2
"São Paulo";"São Paulo";174;2013;2
"São Sebastião da Grama";"São Paulo";175;2013;0
"Cuiabá";"Mato Grosso";176;2013;0
"Santa Filomena";"Piauí";177;2013;0
"Ponta Porã";"Mato Grosso do Sul";178;2013;0
"Flexeiras";"Alagoas";179;2013;0
"Codó";"Maranhão";180;2013;0
"Peritoró";"Maranhão";180;2013;0
"Guararapes";"São Paulo";181;2013;0
"Lagoa da Confusão";"Tocantins";182;2013;18
"Santa Filomena";"Piauí";183;2013;0
"Camaçari";"Bahia";184;2013;8
"São Sebastião do Paraíso";"Minas Gerais";185;2013;0
"Camocim";"Ceará";1;2014;0
"Chaval";"Ceará";1;2014;0
"Pedra Bela";"São Paulo";2;2014;0
"Piracaia";"São Paulo";2;2014;12
"Piracaia";"São Paulo";2;2014;0
"Bacabal";"Maranhão";3;2014;8
"Bela Vista do Maranhão";"Maranhão";3;2014;0
"Paulo Ramos";"Maranhão";3;2014;0
"Tucumã";"Pará";4;2014;2
"Xinguara";"Pará";4;2014;23
"Petrolina";"Pernambuco";5;2014;0
"Passa Quatro";"Minas Gerais";6;2014;3
"Sete Lagoas";"Minas Gerais";7;2014;12
"Imbituva";"Paraná";8;2014;2
"Pinhão";"Paraná";9;2014;2
"Mundo Novo";"Goiás";10;2014;0
"Goianésia do Pará";"Pará";11;2014;0
"Paragominas";"Pará";11;2014;0
"Tucuruí";"Pará";11;2014;0
"São Paulo";"São Paulo";12;2014;8
"Caroebe";"Roraima";13;2014;1
"Ponte Alta do Tocantins";"Tocantins";14;2014;4
"General Carneiro";"Paraná";15;2014;0
"Palmas";"Paraná";15;2014;0
"Peritoró";"Maranhão";16;2014;12
"Santo Antônio dos Lopes";"Maranhão";16;2014;3
"São Fidélis";"Rio de Janeiro";17;2014;0
"Salvador";"Bahia";18;2014;11
"São Miguel do Araguaia";"Goiás";19;2014;10
"Pinhalzinho";"Santa Catarina";20;2014;5
"Sena Madureira";"Acre";21;2014;1
"Natividade";"Tocantins";22;2014;6
"Humaitá";"Amazonas";23;2014;0
"Lábrea";"Amazonas";24;2014;21
"Paranaíba";"Mato Grosso do Sul";25;2014;2
"Piracaia";"São Paulo";26;2014;4
"Piracaia";"São Paulo";26;2014;6
"Piracaia";"São Paulo";26;2014;10
"Jataí";"Goiás";27;2014;8
"Quaraí";"Rio Grande do Sul";28;2014;0
"Guapó";"Goiás";29;2014;5
"Guapó";"Goiás";29;2014;6
"Guapó";"Goiás";29;2014;8
"Guapó";"Goiás";29;2014;13
"Coxim";"Mato Grosso do Sul";30;2014;0
"São Paulo";"São Paulo";31;2014;0
"Santa Luzia";"Maranhão";32;2014;4
"Santa Luzia";"Maranhão";32;2014;0
"Tarauacá";"Acre";33;2014;55
"Barcelos";"Amazonas";34;2014;13
"Barcelos";"Amazonas";34;2014;0
"Coronel Domingos Soares";"Paraná";35;2014;3
"Coração de Jesus";"Minas Gerais";36;2014;10
"Conceição do Mato Dentro";"Minas Gerais";37;2014;6
"Conceição do Mato Dentro";"Minas Gerais";37;2014;0
"Rio de Janeiro";"Rio de Janeiro";38;2014;0
"Osasco";"São Paulo";39;2014;6
"Baixa Grande do Ribeiro";"Piauí";40;2014;0
"Aracati";"Ceará";41;2014;6
"Cascavel";"Ceará";41;2014;0
"São Gabriel da Cachoeira";"Amazonas";42;2014;0
"Rondon do Pará";"Pará";43;2014;5
"Rondon do Pará";"Pará";43;2014;27
"Rondon do Pará";"Pará";43;2014;0
"Açailândia";"Maranhão";43;2014;0
"Rio Maria";"Pará";44;2014;5
"Rio Maria";"Pará";44;2014;7
"Caldas Novas";"Goiás";45;2014;3
"Santo Antônio do Monte";"Minas Gerais";46;2014;0
"Caratinga";"Minas Gerais";47;2014;20
"Rio de Janeiro";"Rio de Janeiro";48;2014;0
"Belo Horizonte";"Minas Gerais";49;2014;40
"Água Clara";"Mato Grosso do Sul";50;2014;0
"Água Boa";"Mato Grosso";51;2014;0
"Canarana";"Mato Grosso";51;2014;0
"Itupiranga";"Pará";52;2014;0
"Marabá";"Pará";52;2014;0
"Barcelos";"Amazonas";53;2014;0
"Paranã";"Tocantins";54;2014;0
"Peixe";"Tocantins";54;2014;3
"Taguatinga";"Tocantins";54;2014;0
"Poços de Caldas";"Minas Gerais";55;2014;0
"Sooretama";"Espírito Santo";56;2014;86
"Dourados";"Mato Grosso do Sul";57;2014;4
"Colatina";"Espírito Santo";58;2014;0
"Campo Erê";"Santa Catarina";59;2014;1
"Caxambu do Sul";"Santa Catarina";59;2014;1
"Aragominas";"Tocantins";60;2014;0
"São Félix do Xingu";"Pará";61;2014;5
"Novo Progresso";"Pará";62;2014;0
"Caracaraí";"Roraima";63;2014;12
"Caracaraí";"Roraima";63;2014;0
"Granja";"Ceará";64;2014;11
"Viçosa do Ceará";"Ceará";64;2014;6
"Petrolina";"Pernambuco";65;2014;8
"Faxinal dos Guedes";"Santa Catarina";66;2014;0
"Rio Branco";"Acre";67;2014;3
"Teresópolis";"Rio de Janeiro";68;2014;4
"São Paulo";"São Paulo";69;2014;17
"Belo Horizonte";"Minas Gerais";70;2014;0
"Almas";"Tocantins";71;2014;0
"Natividade";"Tocantins";71;2014;14
"Santa Isabel do Rio Negro";"Amazonas";72;2014;7
"Morada Nova";"Ceará";73;2014;5
"Quixeré";"Ceará";73;2014;2
"Quixeré";"Ceará";73;2014;0
"São Paulo";"São Paulo";74;2014;0
"Rio de Janeiro";"Rio de Janeiro";75;2014;0
"Teresópolis";"Rio de Janeiro";76;2014;0
"Macaé";"Rio de Janeiro";77;2014;0
"Encruzilhada";"Bahia";78;2014;32
"Ibiraci";"Minas Gerais";79;2014;11
"Ibiraci";"Minas Gerais";79;2014;13
"Ibiraci";"Minas Gerais";79;2014;33
"São Paulo";"São Paulo";80;2014;14
"Açailândia";"Maranhão";81;2014;5
"Bom Jardim";"Maranhão";81;2014;0
"Santa Inês";"Maranhão";81;2014;0
"Camocim";"Ceará";82;2014;0
"Caucaia";"Ceará";82;2014;13
"Alto Parnaíba";"Maranhão";83;2014;0
"Bannach";"Pará";84;2014;0
"Rio Maria";"Pará";84;2014;0
"Gravataí";"Rio Grande do Sul";85;2014;0
"Marabá";"Pará";86;2014;10
"Ipixuna do Pará";"Pará";87;2014;7
"Paragominas";"Pará";87;2014;11
"Cachoeiro de Itapemirim";"Espírito Santo";88;2014;0
"Carolina";"Maranhão";89;2014;3
"Belo Horizonte";"Minas Gerais";90;2014;1
"Ourilândia do Norte";"Pará";91;2014;3
"Parauapebas";"Pará";91;2014;2
"Tucumã";"Pará";91;2014;0
"Rondon do Pará";"Pará";92;2014;0
"Ulianópolis";"Pará";92;2014;14
"Ulianópolis";"Pará";92;2014;0
"Lavrinhas";"São Paulo";93;2014;2
"Araguanã";"Tocantins";94;2014;0
"Arapoema";"Tocantins";94;2014;6
"Goiatins";"Tocantins";94;2014;0
"Guarapuava";"Paraná";95;2014;2
"Bragança";"Pará";96;2014;0
"São José do Rio Preto";"São Paulo";97;2014;0
"Colônia do Piauí";"Piauí";98;2014;4
"Mangaratiba";"Rio de Janeiro";99;2014;1
"Ponte Alta do Bom Jesus";"Tocantins";100;2014;14
"Angico";"Tocantins";101;2014;1
"Campos Lindos";"Tocantins";101;2014;0
"Presidente Kennedy";"Tocantins";101;2014;0
"Jaú do Tocantins";"Tocantins";102;2014;5
"Jaú do Tocantins";"Tocantins";103;2014;12
"Crixás do Tocantins";"Tocantins";104;2014;5
"Alvorada";"Tocantins";105;2014;3
"Paranã";"Tocantins";106;2014;5
"Paranã";"Tocantins";107;2014;2
"Piên";"Paraná";108;2014;0
"Pintópolis";"Minas Gerais";109;2014;4
"Pintópolis";"Minas Gerais";109;2014;0
"Itanhangá";"Mato Grosso";110;2014;0
"Rio Pardo";"Rio Grande do Sul";111;2014;1
"Natividade";"Tocantins";112;2014;6
"Bacabal";"Maranhão";113;2014;8
"Água Clara";"Mato Grosso do Sul";114;2014;0
"Nova Ubiratã";"Mato Grosso";115;2014;0
"Guimarânia";"Minas Gerais";116;2014;0
"Rio Paranaíba";"Minas Gerais";116;2014;0
"Porto Alegre";"Rio Grande do Sul";117;2014;0
"Macaé";"Rio de Janeiro";118;2014;118
"Nova Mutum";"Mato Grosso";119;2014;0
"Guarantã do Norte";"Mato Grosso";120;2014;1
"Tibagi";"Paraná";121;2014;5
"Tibagi";"Paraná";121;2014;0
"Rio de Janeiro";"Rio de Janeiro";122;2014;0
"Santa Cruz de Goiás";"Goiás";123;2014;29
"Contagem";"Minas Gerais";124;2014;5
"Santa Luzia";"Maranhão";125;2014;7
"Mineiros";"Goiás";126;2014;52
"Criciúma";"Santa Catarina";127;2014;14
"Nova Lima";"Minas Gerais";128;2014;0
"Acaraú";"Ceará";129;2014;0
"Imperatriz";"Maranhão";130;2014;17
"São Paulo";"São Paulo";131;2014;26
"Parnaíba";"Piauí";132;2014;52
"Picos";"Piauí";133;2014;61
"Pouso Alegre";"Minas Gerais";134;2014;0
"Venâncio Aires";"Rio Grande do Sul";135;2014;5
"Aparecida de Goiânia";"Goiás";136;2014;0
"Bom Jardim";"Maranhão";137;2014;6
"Cubatão";"São Paulo";138;2014;0
"São Bernardo do Campo";"São Paulo";139;2014;37
"Imbuia";"Santa Catarina";140;2014;22
"Conceição das Alagoas";"Minas Gerais";141;2014;6
"Paraibuna";"São Paulo";142;2014;17
"Salvador";"Bahia";143;2014;29
"Araguaína";"Tocantins";144;2014;10
"Rio Branco";"Acre";145;2014;15
"Araxá";"Minas Gerais";146;2014;7
"Ribeirão das Neves";"Minas Gerais";147;2014;0
"Esmeraldas";"Minas Gerais";148;2014;0
"Abadia dos Dourados";"Minas Gerais";149;2014;0
"Vila Velha";"Espírito Santo";150;2014;5
"Belo Horizonte";"Minas Gerais";151;2014;0
"Cabo Frio";"Rio de Janeiro";152;2014;0
"Petrolina";"Pernambuco";153;2014;0
"Rio de Janeiro";"Rio de Janeiro";154;2014;0
"Arraial do Cabo";"Rio de Janeiro";155;2014;8
"Niterói";"Rio de Janeiro";156;2014;6
"Porto Velho";"Rondônia";157;2014;2
"Goiânia";"Goiás";158;2014;0
"Pindamonhangaba";"São Paulo";159;2014;10
"Rio de Janeiro";"Rio de Janeiro";160;2014;0
"Açailândia";"Maranhão";1;2015;0
"Bom Jardim";"Maranhão";1;2015;1
"Imperatriz";"Maranhão";1;2015;0
"Eldorado dos Carajás";"Pará";2;2015;0
"Marabá";"Pará";2;2015;0
"Piçarra";"Pará";2;2015;0
"Xinguara";"Pará";2;2015;0
"Goianésia do Pará";"Pará";3;2015;1
"Goianésia do Pará";"Pará";3;2015;6
"Marabá";"Pará";3;2015;0
"Ourilândia do Norte";"Pará";4;2015;1
"Rio Vermelho";"Minas Gerais";5;2015;2
"Vidal Ramos";"Santa Catarina";6;2015;5
"Lagoa Grande";"Pernambuco";7;2015;0
"Groaíras";"Ceará";8;2015;26
"Alexânia";"Goiás";9;2015;3
"Itabirito";"Minas Gerais";10;2015;25
"Água Azul do Norte";"Pará";11;2015;0
"Bannach";"Pará";11;2015;0
"Floresta do Araguaia";"Pará";11;2015;0
"Capixaba";"Acre";12;2015;0
"Boca do Acre";"Amazonas";12;2015;4
"Boca do Acre";"Amazonas";12;2015;13
"Boca do Acre";"Amazonas";12;2015;0
"Paranã";"Tocantins";13;2015;2
"Porto Nacional";"Tocantins";13;2015;0
"Taguatinga";"Tocantins";13;2015;0
"Manicoré";"Amazonas";14;2015;6
"Nova Veneza";"Santa Catarina";15;2015;9
"Serro";"Minas Gerais";16;2015;9
"Urubici";"Santa Catarina";17;2015;18
"Urubici";"Santa Catarina";17;2015;0
"Belo Horizonte";"Minas Gerais";18;2015;3
"Correntes";"Pernambuco";19;2015;0
"Muricilândia";"Tocantins";20;2015;2
"Boca do Acre";"Amazonas";21;2015;0
"Araguaína";"Tocantins";22;2015;0
"Araguanã";"Tocantins";22;2015;0
"Barra do Ouro";"Tocantins";22;2015;0
"Couto Magalhães";"Tocantins";22;2015;0
"Xambioá";"Tocantins";22;2015;0
"Curionópolis";"Pará";23;2015;0
"Floresta do Araguaia";"Pará";23;2015;6
"Marabá";"Pará";23;2015;0
"Aguiarnópolis";"Tocantins";24;2015;0
"Babaçulândia";"Tocantins";24;2015;0
"Presidente Kennedy";"Tocantins";24;2015;0
"Campo Novo do Parecis";"Mato Grosso";25;2015;0
"Diamantino";"Mato Grosso";26;2015;0
"Poconé";"Mato Grosso";27;2015;0
"Cáceres";"Mato Grosso";28;2015;0
"Nova Guarita";"Mato Grosso";29;2015;0
"Presidente Figueiredo";"Amazonas";30;2015;0
"Arraias";"Tocantins";31;2015;0
"Cristalina";"Goiás";31;2015;0
"Brasil Novo";"Pará";32;2015;7
"Senador José Porfírio";"Pará";32;2015;0
"Marabá";"Pará";33;2015;0
"Rio Maria";"Pará";33;2015;0
"Bom Jardim";"Maranhão";34;2015;10
"Rio Verde de Mato Grosso";"Mato Grosso do Sul";35;2015;0
"Pontes e Lacerda";"Mato Grosso";36;2015;0
"Nova Bandeirantes";"Mato Grosso";37;2015;0
"Brumadinho";"Minas Gerais";38;2015;9
"Paranatinga";"Mato Grosso";39;2015;2
"Paranaíta";"Mato Grosso";40;2015;0
"Nova Monte Verde";"Mato Grosso";40;2015;0
"Cotegipe";"Bahia";41;2015;0
"Luís Eduardo Magalhães";"Bahia";41;2015;0
"Nova Ubiratã";"Mato Grosso";42;2015;0
"Sorriso";"Mato Grosso";42;2015;4
"Carmo de Minas";"Minas Gerais";43;2015;0
"Monsenhor Paulo";"Minas Gerais";43;2015;0
"Olímpio Noronha";"Minas Gerais";43;2015;0
"São Paulo";"São Paulo";44;2015;4
"Loreto";"Maranhão";45;2015;0
"Indiavaí";"Mato Grosso";46;2015;0
"Nova União";"Rondônia";47;2015;0
"Miguel Pereira";"Rio de Janeiro";48;2015;0
"Doutor Ricardo";"Rio Grande do Sul";49;2015;5
"Teresópolis";"Rio de Janeiro";50;2015;0
"Curionópolis";"Pará";51;2015;0
"Novo Repartimento";"Pará";51;2015;0
"Tucuruí";"Pará";51;2015;0
"Cruz";"Ceará";52;2015;0
"Granja";"Ceará";52;2015;0
"Santana do Acaraú";"Ceará";52;2015;0
"Altamira do Maranhão";"Maranhão";53;2015;21
"Vitorino Freire";"Maranhão";53;2015;11
"Cabo Frio";"Rio de Janeiro";54;2015;0
"Rio de Janeiro";"Rio de Janeiro";55;2015;3
"Teresópolis";"Rio de Janeiro";56;2015;0
"Teresópolis";"Rio de Janeiro";57;2015;4
"Teresópolis";"Rio de Janeiro";57;2015;0
"Cotia";"São Paulo";58;2015;27
"Vilhena";"Rondônia";59;2015;2
"Alto Paraguai";"Mato Grosso";60;2015;0
"Uruará";"Pará";61;2015;0
"Araguaína";"Tocantins";62;2015;0
"Babaçulândia";"Tocantins";62;2015;2
"Brasilândia de Minas";"Minas Gerais";63;2015;0
"João Pinheiro";"Minas Gerais";63;2015;1
"João Pinheiro";"Minas Gerais";63;2015;0
"Santa Cruz de Goiás";"Goiás";63;2015;0
"Araguaçu";"Tocantins";64;2015;0
"Sandolândia";"Tocantins";64;2015;0
"Painel";"Santa Catarina";65;2015;11
"Rio Verde";"Goiás";66;2015;0
